previous_experience,hw_hrs,tut_navigation,tut_difficulty,usefulness,material_field,material_stats,material_writing,material_lecture,material_real,participation_chat,participation_breakout,participation_speaking
Tentative R user,1-2 hours,2,3,3,Same amount,Same amount,Same amount,Same amount,Same amount,Motivated to participate,Motivated to participate,Neutral
High school statistics course,Less than 1 hour,1,4,2,Same amount,Same amount,Same amount,More,More,Motivated to participate,Neutral,Neutral
"Biometry (EEMB 146), Tentative R user",1-2 hours,2,4,3,More,No opinion,Less,More,More,Neutral,Neutral,Neutral
Have R and R Studio installed,1-2 hours,2,1,3,More,More,Same amount,Same amount,More,Motivated to participate,Motivated to participate,Neutral
No statistics experience,1-2 hours,2,2,2,More,More,More,More,More,Motivated to participate,Motivated to participate,Motivated to participate
High school statistics course,1-2 hours,1,3,3,Less,Same amount,Less,Same amount,More,Neutral,Neutral,Neutral
"Biometry (EEMB 146), Confident R user, Have R and R Studio installed",1-2 hours,2,2,5,More,Same amount,Same amount,Same amount,More,Neutral,Motivated to participate,Neutral
"Biometry (EEMB 146), Have R and R Studio installed",1-2 hours,2,2,3,Same amount,Same amount,Same amount,More,More,Neutral,Neutral,Neutral
"Biometry (EEMB 146), Confident R user, Have R and R Studio installed",1-2 hours,1,1,3,Same amount,More,Same amount,More,More,Neutral,Neutral,Did not want to participate
High school statistics course,1-2 hours,3,3,2,Same amount,Less,Same amount,More,Same amount,Motivated to participate,Neutral,Neutral
Biometry (EEMB 146),Less than 1 hour,3,3,3,Same amount,More,More,More,Same amount,Neutral,Motivated to participate,Did not want to participate
Tentative R user,1-2 hours,1,2,2,More,Less,Same amount,More,More,Neutral,Motivated to participate,Did not want to participate
"High school statistics course, Tentative R user",1-2 hours,1,1,5,Same amount,Same amount,Same amount,More,More,Motivated to participate,Motivated to participate,Neutral
"High school statistics course, Biometry (EEMB 146), Tentative R user, Have R and R Studio installed",1-2 hours,1,2,2,Same amount,Same amount,Same amount,More,More,Neutral,Motivated to participate,Did not want to participate
High school statistics course,1-2 hours,2,2,2,More,Less,Same amount,More,Same amount,Neutral,Did not want to participate,Neutral
"No statistics experience, Tentative R user",Less than 1 hour,4,4,5,Same amount,More,Less,More,Same amount,Neutral,Motivated to participate,Did not want to participate
No statistics experience,1-2 hours,3,2,3,Same amount,Same amount,Same amount,Same amount,Same amount,Motivated to participate,Did not want to participate,Did not want to participate
No statistics experience,1-2 hours,2,3,1,Less,Less,Less,More,Same amount,Motivated to participate,Neutral,Neutral
Biometry (EEMB 146),3-4 hours,1,2,5,More,More,More,More,Less,Motivated to participate,Motivated to participate,Did not want to participate
High school statistics course,1-2 hours,3,2,4,Less,Same amount,Same amount,More,Same amount,Neutral,Neutral,Neutral
Biometry (EEMB 146),3-4 hours,1,2,3,More,Same amount,Same amount,More,More,Motivated to participate,Neutral,Neutral
